Totalt_antal_fall,adm1_name,case_count,date,cum_confirmed_cases,c1_schoolclosing,c2_workplaceclosing,c3_cancelpublicevents,c4_restrictionsongatherings,c5_closepublictransport,c6_stayathomerequirements,c7_domestictravel,c8_internationaltravel,e1_incomesupport,e2_debtcontractrelief,h1_publicinfocampaign,h2_testingpolicy,h3_contacttracing,school_closure,work_from_home,no_public_gathering,no_private_gathering,travel_ban_local,travel_ban_intl_in
0,Jämtland_Härjedalen,0,2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Jönköping,0,2020-02-15,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Kalmar,0,2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Kronoberg,0,2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Norrbotten,0,2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Skåne,0,2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Stockholm,0,2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Sörmland,0,2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Uppsala,0,2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Värmland,0,2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västerbotten,0,2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västernorrland,0,2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västmanland,0,2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västra_Götaland,0,2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Örebro,0,2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Östergötland,0,2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Blekinge,0,2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Dalarna,0,2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Gotland,0,2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Gävleborg,0,2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Halland,0,2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Jämtland_Härjedalen,0,2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Jönköping,0,2020-02-16,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Kalmar,0,2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Kronoberg,0,2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Norrbotten,0,2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Skåne,0,2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Stockholm,0,2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Sörmland,0,2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Uppsala,0,2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Värmland,0,2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västerbotten,0,2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västernorrland,0,2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västmanland,0,2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västra_Götaland,0,2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Örebro,0,2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Östergötland,0,2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Blekinge,0,2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Dalarna,0,2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Gotland,0,2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Gävleborg,0,2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Halland,0,2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Jämtland_Härjedalen,0,2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Jönköping,0,2020-02-17,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Kalmar,0,2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Kronoberg,0,2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Norrbotten,0,2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Skåne,0,2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Stockholm,0,2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Sörmland,0,2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Uppsala,0,2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Värmland,0,2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västerbotten,0,2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västernorrland,0,2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västmanland,0,2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västra_Götaland,0,2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Örebro,0,2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Östergötland,0,2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Blekinge,0,2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Dalarna,0,2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Gotland,0,2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Gävleborg,0,2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Halland,0,2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Jämtland_Härjedalen,0,2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Jönköping,0,2020-02-18,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Kalmar,0,2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Kronoberg,0,2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Norrbotten,0,2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Skåne,0,2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Stockholm,0,2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Sörmland,0,2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Uppsala,0,2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Värmland,0,2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västerbotten,0,2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västernorrland,0,2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västmanland,0,2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västra_Götaland,0,2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Örebro,0,2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Östergötland,0,2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Blekinge,0,2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Dalarna,0,2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Gotland,0,2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Gävleborg,0,2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Halland,0,2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Jämtland_Härjedalen,0,2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Jönköping,0,2020-02-19,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Kalmar,0,2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Kronoberg,0,2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Norrbotten,0,2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Skåne,0,2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Stockholm,0,2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Sörmland,0,2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Uppsala,0,2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Värmland,0,2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västerbotten,0,2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västernorrland,0,2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västmanland,0,2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västra_Götaland,0,2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Örebro,0,2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Östergötland,0,2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Blekinge,0,2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Dalarna,0,2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Gotland,0,2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Gävleborg,0,2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Halland,0,2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Jämtland_Härjedalen,0,2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Jönköping,0,2020-02-20,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Kalmar,0,2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Kronoberg,0,2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Norrbotten,0,2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Skåne,0,2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Stockholm,0,2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Sörmland,0,2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Uppsala,0,2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Värmland,0,2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västerbotten,0,2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västernorrland,0,2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västmanland,0,2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västra_Götaland,0,2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Örebro,0,2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Östergötland,0,2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Blekinge,0,2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Dalarna,0,2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Gotland,0,2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Gävleborg,0,2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Halland,0,2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Jämtland_Härjedalen,0,2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Jönköping,0,2020-02-21,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Kalmar,0,2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Kronoberg,0,2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Norrbotten,0,2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Skåne,0,2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Stockholm,0,2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Sörmland,0,2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Uppsala,0,2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Värmland,0,2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västerbotten,0,2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västernorrland,0,2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västmanland,0,2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västra_Götaland,0,2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Örebro,0,2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Östergötland,0,2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Blekinge,0,2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Dalarna,0,2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Gotland,0,2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Gävleborg,0,2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Halland,0,2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Jämtland_Härjedalen,0,2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Jönköping,0,2020-02-22,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Kalmar,0,2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Kronoberg,0,2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Norrbotten,0,2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Skåne,0,2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Stockholm,0,2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Sörmland,0,2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Uppsala,0,2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Värmland,0,2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västerbotten,0,2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västernorrland,0,2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västmanland,0,2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västra_Götaland,0,2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Örebro,0,2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Östergötland,0,2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Blekinge,0,2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Dalarna,0,2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Gotland,0,2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Gävleborg,0,2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Halland,0,2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Jämtland_Härjedalen,0,2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Jönköping,0,2020-02-23,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Kalmar,0,2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Kronoberg,0,2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Norrbotten,0,2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Skåne,0,2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Stockholm,0,2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Sörmland,0,2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Uppsala,0,2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Värmland,0,2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västerbotten,0,2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västernorrland,0,2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västmanland,0,2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västra_Götaland,0,2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Örebro,0,2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Östergötland,0,2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Blekinge,0,2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Dalarna,0,2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Gotland,0,2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Gävleborg,0,2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Halland,0,2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Jämtland_Härjedalen,0,2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Jönköping,0,2020-02-24,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Kalmar,0,2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Kronoberg,0,2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Norrbotten,0,2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Skåne,0,2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Stockholm,0,2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Sörmland,0,2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Uppsala,0,2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Värmland,0,2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västerbotten,0,2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västernorrland,0,2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västmanland,0,2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västra_Götaland,0,2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Örebro,0,2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Östergötland,0,2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Blekinge,0,2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Dalarna,0,2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Gotland,0,2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Gävleborg,0,2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Halland,0,2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Jämtland_Härjedalen,0,2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Jönköping,0,2020-02-25,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Kalmar,0,2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Kronoberg,0,2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Norrbotten,0,2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Skåne,0,2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Stockholm,0,2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Sörmland,0,2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Uppsala,0,2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Värmland,0,2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västerbotten,0,2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västernorrland,0,2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västmanland,0,2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Västra_Götaland,0,2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Örebro,0,2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,Östergötland,0,2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
1,Blekinge,0,2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
1,Dalarna,0,2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
1,Gotland,0,2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
1,Gävleborg,0,2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
1,Halland,0,2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
1,Jämtland_Härjedalen,0,2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
1,Jönköping,0,2020-02-26,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
1,Kalmar,0,2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
1,Kronoberg,0,2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
1,Norrbotten,0,2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
1,Skåne,0,2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
1,Stockholm,0,2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
1,Sörmland,0,2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
